URLs,Labels,URL_Word,D1_noOfDotInDomain,D2_noOfDotInHostname,D3_noOfSPInDomain,D4_noOfSPInHostname,D5_noOfDigitInDomain,D6_noOfAlphaCharInDomain,D7_ipInDomain,D8_noOfSusWordInDomain,D9_noOfSubLevelInDomain,D10_lenOfBrandname,D11_lenOfSubDomainInDomain,D12_avgWordLengthInHostname,D13_longWordLengthInHostname,D14_hostLengthInHostname,D15_noOfHyphenInHostname,D16_noOfUnderscoreInHostname,D17_gTLDExistInTLD,D18_entropyNANInDomain,D19_brandInSubdomain,P1_brandInPath,P2_noOfSubfolderInPath,P3_noOfAlnumCharInPath,P4_noOfSPInPath,P5_poiDistriOfAlphaInPath,P6_poiDistriOfNumInPath,P7_queryExistInQuery,P8_noOfDigitInPath,P9_avgWordLengthInPath,P10_longWordLengthInPath,P11_noOfHTTPSInPath,P12_entropyNANInPath,U1_atExistInURL,U2_baseUrlLengthInURL,U3_noOfQuestionmarkInURL,U4_noOfSlashInURL,U5_ratioOfHyphenInURL
http://www.loruws-foruas.tk/,1,http : / / www . l or u w s - for ua s . t k /,2,1,1,1,0,17,0,0,3,13,3,4.25,6,14,1,0,0,0.548,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,28,0,3,0.036
http://mzone.mweb.co.za/residents/jhammes/main.htm,0,http : / / m zone . m web . co . za / residents / j ham me s / main . h t m,3,2,0,0,0,13,0,0,4,4,5,3.25,5,8,0,0,0,0.453,0,0,2,23,1,0.184,0.0,0,0,5.75,9,0,0.528,0,50,0,5,0.0
http://www.ampli.com/portable-pa-system/,0,http : / / www . amp li . com / portable - pa - system /,2,1,0,0,0,11,0,0,3,5,3,3.667,5,8,0,0,0,0.415,0,0,1,16,2,0.368,0.0,0,0,5.333,8,0,0.664,0,40,0,4,0.05
http://www.latempete.cd/10/www.paypal.com/,1,http : / / www . la te mp et e . cd / [digit] / www . paypal . com /,2,1,0,0,0,14,0,0,3,9,3,4.667,9,11,0,0,0,0.375,0,0,2,14,2,0.279,0.067,0,2,3.5,6,0,0.762,0,42,0,5,0.0
http://www.hedgerleyvillage.com/wp-admin/network/webmail/WebMail.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,1,http : / / www . hedger ley village . com / wp - admin / network / web mail / web mail . php,2,1,0,0,0,22,0,0,3,16,3,7.333,16,19,0,0,0,0.299,0,0,3,31,2,0.061,0.0,1,0,5.167,7,0,0.629,0,68,2,6,0.015
http://edikok.info/pCntrlde/webscr.php?cmd_=session.start&amp;sdr01=aXVuZG1lY0B0LW9ubGluZS5kZQ==,1,http : / / ed i ko k . info / p cn tr l de / web scr . php,1,1,0,0,0,10,0,0,2,6,0,5.0,6,10,0,0,0,0.314,0,0,1,17,1,0.368,0.0,1,0,5.667,8,0,0.548,0,38,1,4,0.0
http://hoodyandtshirt.com/wp-content/themes/excel/excel.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4,1,http : / / hood y and ts hi rt . com / wp - content / themes / excel / excel . php,1,1,0,0,0,17,0,0,2,14,0,8.5,14,17,0,0,0,0.232,0,0,3,28,2,0.061,0.0,1,0,4.667,7,0,0.662,0,59,2,6,0.017
http://www.geomlocatelli.it/Editwebmall1/,1,http : / / www . geom locate ll i . it / edit web mall [digit] /,2,1,0,0,0,18,0,0,3,13,3,6.0,13,15,0,0,0,0.332,0,0,1,12,0,0.367,0.076,0,1,12.0,12,0,0.401,0,41,0,4,0.0
http://zilliqa.name/,1,http : / / z ill i qa . name /,1,1,0,0,0,11,0,0,2,7,0,5.5,7,11,0,0,0,0.299,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,20,0,3,0.0
https://www.dmmagnetics.com/,0,https : / / www . dm magnetics . com /,2,1,0,0,0,17,0,0,3,11,3,5.667,11,14,0,0,0,0.342,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,28,0,3,0.0
http://www.etonline.com/tv/171156_meet_the_amazing_race_season_27_teams/,0,http : / / www . et online . com / tv / [digit] _ meet _ the _ amazing _ race _ season _ [digit] _ teams /,2,1,0,0,0,14,0,0,3,8,3,4.667,8,11,0,0,0,0.375,0,0,2,39,7,0.143,0.092,0,8,23.0,44,0,0.648,0,72,0,5,0.0
